owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,285691.37,293135.77
aafc-aac,2021-2022,97623.52,91288.83
aandc-aadnc,2017-2018,261617.08,268493.25
aandc-aadnc,2018-2019,88268.28,90111.31
aandc-aadnc,2021-2022,46228.44,41753.52
cic,2018-2019,220660.75,223263.49
cic,2021-2022,65015.68,58722.16
cihr-irsc,2018-2019,15981.43,16138.67
cihr-irsc,2019-2020,26809.14,26406.78
cihr-irsc,2020-2021,6985.93,6594.58
dfatd-maecd,2020-2021,39085.28,37450.96
dnd-mdn,2021-2022,44082.46,40086.93
esdc-edsc,2017-2018,689927.15,707296.75
esdc-edsc,2018-2019,126392.98,128954.40
esdc-edsc,2019-2020,138952.91,136715.97
esdc-edsc,2020-2021,375826.08,357226.53
esdc-edsc,2021-2022,528436.80,488291.52
hc-sc,2019-2020,22784.80,22233.39
hc-sc,2020-2021,197373.58,187386.34
hc-sc,2021-2022,184527.99,170537.48
ic,2017-2018,180995.97,185617.55
ic,2018-2019,332476.24,337057.18
ic,2019-2020,157776.03,156444.57
ic,2021-2022,62850.74,57349.97
isc-sac,2021-2022,0.00,0.00
nrcan-rncan,2017-2018,0.00,0.00
nrcan-rncan,2018-2019,0.00,0.00
nrcan-rncan,2019-2020,0.00,0.00
nrcan-rncan,2021-2022,110683.50,101755.27
pch,2017-2018,54101.58,55570.85
pch,2018-2019,10650.25,10783.98
rcmp-grc,2021-2022,118698.91,109154.04
sshrc-crsh,2020-2021,63375.81,59820.85
sshrc-crsh,2021-2022,36470.99,34485.55
statcan,2018-2019,44361.24,44827.08
statcan,2019-2020,136438.76,135287.36
tc,2018-2019,72320.00,73624.24
tc,2019-2020,16140.73,15750.11
tc,2020-2021,540255.47,511695.12
