d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,16712.28,17013.67
1_facilities_and_construction,2019-2020,285029.26,280158.87
1_facilities_and_construction,2020-2021,544689.42,517820.04
1_facilities_and_construction,2021-2022,484997.43,426091.26
11_defence,2017-2018,5279061.67,5417902.91
11_defence,2018-2019,1841518.97,1872468.29
2_professional_services,2017-2018,21158.47,21667.16
6_industrial_products_and_services,2017-2018,4906082.51,5033215.16
6_industrial_products_and_services,2018-2019,1257671.74,1284864.48
6_industrial_products_and_services,2020-2021,426472.46,406997.29
