d_vendor_name,overall_total
CANADIAN CORPS OF COMMISSIONAIRES,771010.67
MNP,496073.31
NISHA TECHONOLOGIES,476595.05
IBM CANADA,398585.18
CORADIX TECHNOLOGY CONSULTING,380132.00
ADVANCED CHIPPEWA TECHNOLOGIES,297842.76
SOFTCHOICE,273597.03
EXCEL HUMAN RESOURCES,227808.00
MICROSOFT CANADA,208027.03
IFATHOM,161341.40
THE AIM GROUP,159104.00
RANDSTAD,151872.00
TRM TECHNOLOGIES,138646.00
FREEBALANCE,122476.97
TOSHIBA CANADA,119424.50
GARTNER,114163.90
MAPLESOFT CONSULTING,92660.00
GENESIS INTEGRATION,87848.00
XEROX,81818.72
TERAMACH TECHNOLOGIES,79326.00
TOTEM OFFISOURCE,74287.52
FORRESTER RESEARCH,58949.47
THE RIGHT DOOR CONSULTING,57065.00
GOSS GILROY,55822.00
KPMG,55370.00
QMR,49720.00
LANSDOWNE TECHNOLOGIES,48731.25
DELL COMPUTER,22484.38
GRAND TOY,22369.48
ST JOSEPH PRINT GROUP,19436.00
HONEYWELL,16693.95
FAST FORWARD FRENCH,15375.00
CSDC SYSTEMS,13146.42
ECOLE DE LANGUES ABCE,10650.00
CDW CANADA,1439.70
