d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,32688.78
2_professional_services,2017-2018,1394785.27
2_professional_services,2018-2019,1236978.14
2_professional_services,2019-2020,633323.41
2_professional_services,2020-2021,582356.60
3_information_technology,2017-2018,151488.82
3_information_technology,2018-2019,65731.82
3_information_technology,2019-2020,87153.18
3_information_technology,2020-2021,390000.00
9_human_capital,2017-2018,331618.88
9_human_capital,2018-2019,164886.63
9_human_capital,2019-2020,1061167.95
9_human_capital,2020-2021,794348.06
NA,2017-2018,141036.00
NA,2018-2019,374052.00
